"","cocktails_name","ingredient_1","ingredient_2","ingredient_3","ingredient_4","ingredient_5","ingredient_6","ingredient_7","ingredient_8","ingredient_9","ingredient_10","ingredient_11","ingredient_12","abv","volume","classified_by_abv","long_and_short_drink"
"1","“Blue Dog” Zombie","Plantation Overproof Rum:12.5","Goslings Bermudan Dark Rum:12.5","Chairman's Reserve Spiced Rum:12.5","Chairmans Reserve White Rum:12.5","Gabriel Boudier Apricot Brandy:12.5","Gomme Syrup:12.5","Lime Juice:25.0","Orange Juice:25.0","25 Pineapple Juice","1 Passion Fruit","","",21.4,125,"喝到微醺最快樂！","慢慢喝，還是會醉"
"2","20th  Century","Gin:37.5","Lillet Blanc:20.0","Crème de Cacao:20.0","Fresh Lemon Juice:20.0","","","","","","","","",23.6,98,"喝到微醺最快樂！","快快喝，快快醉"
"3","50 – 50","Gin:50.0","Dry Vermouth:50.0","1 Olive","","","","","","","","","",39.6,100,"喝到微醺最快樂！","快快喝，快快醉"
"4","Abaci Batida","Cachaca:50.0","Pineapple Juice:75.0","Lemon Juice:12.5","Sugar Syrup:5.0","","","","","","","","",16.7,142,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"5","Abbey Cocktail","Gin:50.0","Orange Juice:37.5","Orange Bitters:2.0(dash)","Maraschino Cherry","","","","","","","","",22.3,89,"喝到微醺最快樂！","快快喝，快快醉"
"6","Adios M.F","Vodka:12.5","Tequila:12.5","Gin:12.5","Rum:12.5","Blue Curacao:12.5","","","","","","","",39.4,62,"喝到微醺最快樂！","快快喝，快快醉"
"7","Admiral Benbow","Plymouth Gin:50.0","Dry Vermouth:25.0","Lime Juice:12.5","Maraschino Cherry","","","","","","","","",34.6,88,"喝到微醺最快樂！","快快喝，快快醉"
"8","Admiral Perry","Pear Vodka:50.0","Cinnamon Schnapps:25.0","Dry Vermouth:25.0","White Crème de Cacao:5.0","Pear Slice","","","","","","","",39.7,105,"喝到微醺最快樂！","快快喝，快快醉"
"9","Adonis","Dry Sherry:25.0","Sweet Vermouth:12.5","Dry Vermouth:12.5","Orange Bitters:2.0(dash)","","","","","","","","",22.6,52,"喝到微醺最快樂！","快快喝，快快醉"
"10","Adult Hot Chocolate","Peppermint Schnapps:50.0","Hot Chocolate","Whipped Cream","Chocolate Shavings","","","","","","","","",49,50,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"11","Affinity","Scotch Whiskey:25.0","Sweet Vermouth:12.5","Dry Vermouth:12.5","Orange Bitters:2.0(dash)","","","","","","","","",33,52,"喝到微醺最快樂！","快快喝，快快醉"
"12","Agave Kiss","Silver Tequila:50.0","White Crème de Cacao:25.0","Double Cream:25.0","Chambord:12.5","White Chocolate flakes","Raspberries","","","","","","",31.6,112,"喝到微醺最快樂！","快快喝，快快醉"
"13","Agent Orange","Vodka:25.0","Carrot Juice:75.0","","","","","","","","","","",9.9,100,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"14","Alabazam","Brandy:50.0","Orange Curacao:12.5","Angostura Bitters:2.0(dash)","Lemon Juice:20.0","Simple Syrup:12.5","Soda Water:50.0","","","","","","",22.5,147,"喝到微醺最快樂！","慢慢喝，還是會醉"
"15","Alaska Cocktail","Gin:37.5","Yellow Chartreuse:20.0","3 drops Orange Bitters","Orange Zest Twist","","","","","","","","",39.3,58,"喝到微醺最快樂！","快快喝，快快醉"
"16","Alaskan Iced Tea","Gin:15.0","Vodka:15.0","Tequila:15.0","White Rum:15.0","Triple Sec:15.0","Lemon Juice:25.0","Gomme syrup:30.0","Blue Curacao:1.0(splash)","","","","",23.6,136,"喝到微醺最快樂！","慢慢喝，還是會醉"
"17","Alcoholic Dr.Pepper","Beer:250.0","Cola:250.0","Amaretto:25.0","","","","","","","","","",3.5,525,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"18","Alexander","Gin:25.0","Crème de Cacao:25.0","Half & Half:25.0","grated Nutmeg","","","","","","","","",22.7,75,"喝到微醺最快樂！","快快喝，快快醉"
"19","Algonquin","Rye Whiskey:37.5","Dry Vermouth:20.0","Pineapple Juice:20.0","","","","","","","","","",34.6,78,"喝到微醺最快樂！","快快喝，快快醉"
"20","Amaretto Colada","Amaretto:30.0","Coconut Cream:30.0","Pineapple Juice:90.0","1 Pineapple Slice","","","","","","","","",5.6,150,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"21","Amaretto Sour","Amaretto:50.0","Lemon Juice:25.0","Simple Syrup:12.5","Egg-White:1.0(dash)","Angostura Bitters:1.0(dash)","Lemon Zest","","","","","","",16,89,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"22","Amaretto Sunrise","Amaretto:45.0","Orange Juice:90.0","Grenadine Syrup:15.0","Orange Slice","","","","","","","","",8.3,150,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"23","Amarula and Eve","Amarula Cream:37.5","Citrus Vodka:12.5","Lychee Juice:65.0","Ruby Red Grapefruit Juice:20.0","Lychee Fruit","","","","","","","",8.4,135,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"24","American Collins","Premium Gin:37.5","Simple Syrup:20.0","Lemon Juice:12.5","4 Bing Cherries","8 Blueberries","Soda Water","Lemon Wheel","","","","","",19.8,70,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"25","Americano","Campari:25.0","Sweet Vermouth:25.0","Soda Water:1.0(dash)","Lemon Peel","","","","","","","","",18.5,51,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
