cocktail_name,alcohol_concentration(%),total_volume(ml)
“Blue Dog” Zombie,21.4,125
20th  Century,23.6,98
50 – 50,39.6,100
Abaci Batida,16.7,142
Abbey Cocktail,22.3,89
Accomplice,22.6,88
Adios M.F,39.4,62
Admiral Benbow,34.6,88
Admiral Perry,39.7,105
Adonis,22.6,52
Adult Hot Chocolate,49.0,50
Affinity,33.0,52
Agave Kiss,31.6,112
Agent Orange,9.9,100
Air Force One,24.3,75
Alabama Slammer,30.5,60
Alabazam,22.5,147
Alaska Cocktail,39.3,58
Alaskan Iced Tea,23.6,136
Alcoholic Dr.Pepper,3.5,525
Alexander,22.7,75
Algonquin,34.6,78
Alibi,26.3,75
Amaretto Colada,5.6,150
Amaretto Sour,16.0,89
Amaretto Sunrise,8.3,150
Amarula and Eve,8.4,135
American Collins,19.8,70
Americano,18.5,51
Anaconda,37.5,25
Anani Punch,19.8,100
Anejo HighBall,24.2,75
Angel Delight,23.6,67
Angele Green Tea Cooler,11.6,150
Angels Tit,20.0,30
Anita Byrant,13.2,150
Anna Kournikova,27.7,100
AntiFreeze,33.3,62
Aperol Sunrise,16.4,150
Apocalypse Now,31.3,30
Apple Cin,9.6,88
Apple Sour,24.3,94
Appletini,34.6,70
Apricot Champagne Sangria,12.8,784
Apricot Fizz,20.5,90
Apricot Martini,23.1,96
Apricot Sour,20.2,95
April Rain,32.9,75
April Shower,30.4,55
Arathusa,20.7,110
Arizona Breeze,13.6,190
As Night Falls,24.7,80
Aspenlicious,30.7,107
Atone-Mint,12.6,138
Autumn Slumber Toddy,31.5,68
Aviation,30.9,80
Axis Kiss,13.1,85
B & B,39.2,50
B-52,31.3,30
B-52 Gunship,42.3,30
B-52 in the Desert,38.7,30
Baby Guinness,33.9,100
Bacardi,25.4,70
Backdraft,39.5,75
Bahama Mama,7.1,135
Baja Gold,18.1,138
Bajan Passion,19.2,100
Ballet Ruse,21.5,108
Balm Smash,19.8,100
Baltic Breeze,10.7,162
Bamboo,28.5,79
Banana Boomer,32.0,60
Banana Daiquiri,21.9,95
Banana Daiquiri Jelly Shot,23.7,205
Banana Hammock,18.5,78
Banana Split Martini,29.6,78
Bananarita,19.4,138
Banshee,16.4,75
Barnum Cocktail,31.8,89
Basil-ica,25.7,89
