liquor_names,alcohol_contents_percentage
Vodka,40
Gin,40
Triple Sec,40
Tequila,40
Dry Vermouth,40
Coffee Liqueur,40
Champagne,12.2
Bourbon Whiskey,40
Brandy,60
Dark Rum,40
Sweet Vermouth,18
Amaretto,28
Light Rum,40
Irish Cream Liqueur,17
Blue Curacao,40
Absinthe,74
White Rum,40
Melon Liqueur,21
Rum,40
Apricot Brandy,35
Black Raspberry Liqueur,16.5
Scotch Whiskey,40
Irish Whiskey,40
Grand Marnier,40
White Crème de Cacao,25
Peach Schnapps,24
Rye Whiskey,51
Cherry Brandy,40
Whiskey,40
Coconut Rum,21
Cachaca,48
Peppermint Schnapps,50
Citrus Vodka,40
Campari,20.5
Crème de Cassis,15
Jägermeister,35
Cognac,40
Red Wine,15
Sake,16
Orange Liqueur,40
White Wine,10
Benedictine,40
Galliano,42.3
Sweet Red Vermouth,18
Green Crème de Menthe,25
Southern Comfort,35
Orange Curaçao,40
Maraschino Liqueur,32
Vanilla Vodka,35
151 Proof Rum,75.5
Crème de Cacao,24
Beer,4.5
Yellow Chartreuse,40
Raspberry Vodka,35
Banana Liqueur,25
Stout Beer,7
Ginger Liqueur,28
Tennessee Whiskey,40
Spiced Rum,35
Crème de Mure,16
Frangelico,20
Canadian Whiskey,40
Limoncello,28
Citron Vodka,40
Sloe Gin,30
Crème de Banane,25
Goldschlager,43.5
Dark Crème de Cacao,25
Premium Vodka,40
Apple Brandy,60
Plymouth Gin,41.2
Drambuie,40
Sherry,18
Green Chartreuse,55
White Crème de Menthe,25
Raspberry Liqueur,16.5
Port,20
Hazelnut Liqueur,20
Pomegranate Liqueur,17
Peach Liqueur,24
AppleJack,30
Pastis,45
Prosecco,12
Gold Rum,40
Lillet Blanc,17
Cinnamon Schnapps,43.5
Dry Sherry,18
Silver Tequila,55
Sparkling Wine,13.5
Blackberry Brandy,35
Dubonnet Rouge,19
Apple Whiskey,35
Sambuca,38
Pear Vodka,40
Hpnotiq Liqueur,17
Amarula Cream,17
Añejo Rum,40
Apple Vodka,5
Orange Vodka,35
Elderflower Liqueur,20
Blavod Black Vodka,40
Blanco Tequila,51
Pomegranate Vodka,17
Pineapple Vodka,35
Falernum,18
Calvados,40
Lychee Liqueur,21
Honey Liqueur,35
Mekhong,35
Gold Tequila,40
Crème de Menthe,25
Chambord,16.5
Orange Bitters,9
Chocolate Liqueur,25
Crème de Noyaux,40
Leblon Cachaca,43
Bourbon,40
Premium Gin,37.5
White Sambuca,38
Coconut Vodka,35
Blueberry Vodka,35
Blavod Vodka,40
Black Cherry Vodka,37.5
Jack Daniels,35
Pale Ale Beer,7
Irish Mist Liqueur,35
Lemon Vodka,35
Butterscotch Schnapps,21
Premium Tequila,55
Ruby Port,19
Cream Liqueur,17
Cruzan Blackstrap Rum,40
Ouzo,40
Amber Rum,8
Peach Brandy,30
Blackberry Liqueur,40
Sour Apple Schnapps,15
Hpnotiq,17
Espresso Vodka,25
